31.8	3572.680
31.9	3571.280
32	3569.880
32.1	3568.480
32.2	3567.080
32.3	3565.680
32.4	3564.280
32.5	3562.880
32.6	3561.480
32.7	3560.080
32.8	3558.680
32.9	3557.280
33	3555.880
33.1	3554.480
33.2	3553.080
33.3	3551.680
33.4	3550.280
33.5	3548.880
33.6	3547.480
33.7	3546.080
33.8	3544.680
33.9	3543.280
34	3541.880
34.1	3540.480
34.2	3539.080
34.3	3537.680
34.4	3536.280
34.5	3534.880
34.6	3533.480
34.7	3532.080
34.8	3530.680
34.9	3529.280
35	3527.880
35.1	3526.480
35.2	3525.080
35.3	3523.680
35.4	3522.280
35.5	3520.880
35.6	3519.480
35.7	3518.080
35.8	3516.680
35.9	3515.280
36	3513.880
36.1	3512.480
36.2	3511.080
36.3	3509.680
36.4	3508.280
36.5	3506.880
36.6	3505.480
36.7	3504.080
36.8	3502.680
36.9	3501.280
37	3499.880
37.1	3498.480
37.2	3497.080
37.3	3495.680
37.4	3494.280
37.5	3492.880
37.6	3491.480
37.7	3490.080
37.8	3488.680
37.9	3487.280
38	3485.880
38.1	3484.480
38.2	3483.080
38.3	3481.680
38.4	3480.280
38.5	3478.880
38.6	3477.480
38.7	3476.080
38.8	3474.680
38.9	3473.280
39	3471.880
39.1	3470.480
39.2	3469.080
39.3	3467.680
39.4	3466.280
39.5	3464.880
39.6	3463.480
39.7	3462.080
39.8	3460.680
39.9	3459.280
40	3457.880
40.1	3456.480
40.2	3455.080
40.3	3453.680
40.4	3452.280
40.5	3450.880
40.6	3449.480
40.7	3448.080
40.8	3446.680
40.9	3445.280
41	3443.880
41.1	3442.480
41.2	3441.080
41.3	3439.680
41.4	3438.280
41.5	3436.880
41.6	3435.480
41.7	3434.080
41.8	3432.680
41.9	3431.280
42	3429.880
42.1	3428.480
42.2	3427.080
42.3	3425.680
42.4	3424.280
42.5	3422.880
42.6	3421.480
42.7	3420.080
42.8	3418.680
42.9	3417.280
43	3415.880
43.1	3414.480
43.2	3413.080
43.3	3411.680
43.4	3410.280
43.5	3408.880
43.6	3407.480
43.7	3406.080
43.8	3404.680
43.9	3403.280
44	3401.880
44.1	3400.480
44.2	3399.080
44.3	3397.680
44.4	3396.280
44.5	3394.880
44.6	3393.480
44.7	3392.080
44.8	3390.680
44.9	3389.280
45	3387.880
45.1	3386.480
45.2	3385.080
45.3	3383.680
45.4	3382.280
45.5	3380.880
45.6	3379.480
45.7	3378.080
45.8	3376.680
45.9	3375.280
46	3373.880
46.1	3372.480
